album_id,name,release_date,total_tracks,url
1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,2024-04-18,16,https://open.spotify.com/album/1Mo4aZ8pdj6L1jx8zSwJnt
6DEjYFkNZh67HP7R9PSZvv,reputation,2017-11-10,15,https://open.spotify.com/album/6DEjYFkNZh67HP7R9PSZvv
4hDok0OAJd57SGIT8xuWJH,Fearless (Taylor's Version),2021-04-09,26,https://open.spotify.com/album/4hDok0OAJd57SGIT8xuWJH
1NAmidJlEaVgA3MpcPFYGq,Lover,2019-08-23,18,https://open.spotify.com/album/1NAmidJlEaVgA3MpcPFYGq
64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,21,https://open.spotify.com/album/64LU4c1nfjz1t4VnGhagcg
1yGbNOtRIgdIiGHOEBaZWf,1989 (Deluxe),2014-01-01,19,https://open.spotify.com/album/1yGbNOtRIgdIiGHOEBaZWf
151w1FgRZfnKZA9FEcg9Z3,Midnights,2022-10-21,13,https://open.spotify.com/album/151w1FgRZfnKZA9FEcg9Z3
5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,31,https://open.spotify.com/album/5H7ixXZfsNMGbIE5OBSpcb
